class_id,class_number,course_id,instructor_id,instructor_id_2,instructor_id_3,instructor_id_4,instructor_id_5,instructor_id_6,instructor_id_7,instructor_id_8,instructor_id_9,instructor_id_10,instructor_id_11,instructor_id_12,instructor_id_13,instructor_id_14,instructor_id_15,instructor_id_16,instructor_id_17,instructor_id_18,instructor_id_19,location_id
6A,6A,49310-CLND-49-COLLEGE-COURS6A,32608696-c4eb-459a-90e5-9b66d074586b ,35441f98-4e5f-4885-b606-255f2937026e ,65a6ae51-e032-4f2b-a134-3f3e489e6435 ,,CLND49-PROF2017010,7e6b22fc-973c-4d26-bcb1-26299885c796 ,39e556c1-b439-4cb2-9c00-8352a9507ee7 ,bc389ddb-e2c1-425a-91f1-381d6f699e81 ,mo,611fccbd-0c0a-4ae0-8ae4-c74c3b4ec8d5 ,3bb5dcaf-a439-425a-af9f-26ec50c5399c ,CLND49-PROF2016000,CLND49-PROF2017012,CLND49-PROF2017026,CLND49-PROF2017027,CLND49-PROF2017028,CLND49-PROF2017029,CLND49-PROF2017030,CLND49-PROF2017031,0491929F-0490837U
6B,6B,49310-CLND-49-COLLEGE-COURS6B,dde471d0-be68-4e8f-811c-50ae64646116,1f48b137-9a22-4158-8c0e-dff429fc137e ,65a6ae51-e032-4f2b-a134-3f3e489e6435 ,,CLND49-PROF2017010,7e6b22fc-973c-4d26-bcb1-26299885c796 ,39e556c1-b439-4cb2-9c00-8352a9507ee7 ,bc389ddb-e2c1-425a-91f1-381d6f699e81 ,mo,611fccbd-0c0a-4ae0-8ae4-c74c3b4ec8d5 ,3bb5dcaf-a439-425a-af9f-26ec50c5399c ,CLND49-PROF2016000,CLND49-PROF2017012,CLND49-PROF2017026,CLND49-PROF2017027,CLND49-PROF2017028,CLND49-PROF2017029,CLND49-PROF2017030,CLND49-PROF2017031,0491929F-0490837U
5A,5A,49310-CLND-49-COLLEGE-COURS5A,CLND49-PROF2017016,CLND49-PROF2017005,CLND49-PROF2017017,CLND49-PROF2016001,CLND49-PROF2017010,CLND49-PROF2017018,CLND49-PROF2017003,CLND49-PROF2017019,mo,611fccbd-0c0a-4ae0-8ae4-c74c3b4ec8d5 ,3bb5dcaf-a439-425a-af9f-26ec50c5399c ,CLND49-PROF2016000,CLND49-PROF2017012,CLND49-PROF2017026,CLND49-PROF2017027,CLND49-PROF2017028,CLND49-PROF2017029,CLND49-PROF2017030,CLND49-PROF2017031,0491929F-0490837U
5B,5B,49310-CLND-49-COLLEGE-COURS5B,CLND49-PROF2017016,,CLND49-PROF2017017,CLND49-PROF2016001,CLND49-PROF2017010,CLND49-PROF2017018,CLND49-PROF2017003,CLND49-PROF2017019,mo,611fccbd-0c0a-4ae0-8ae4-c74c3b4ec8d5 ,3bb5dcaf-a439-425a-af9f-26ec50c5399c ,CLND49-PROF2016000,CLND49-PROF2017012,CLND49-PROF2017026,CLND49-PROF2017027,CLND49-PROF2017028,CLND49-PROF2017029,CLND49-PROF2017030,CLND49-PROF2017031,0491929F-0490837U
2nde1,2NDE1,49310-CLND-49-LYCEE-COURS21,32608696-c4eb-459a-90e5-9b66d074586b ,35441f98-4e5f-4885-b606-255f2937026e ,65a6ae51-e032-4f2b-a134-3f3e489e6435 ,CLND49-PROF2017021,CLND49-PROF2017010,7e6b22fc-973c-4d26-bcb1-26299885c796 ,CLND49-PROF2017003,CLND49-PROF2017007,mo,611fccbd-0c0a-4ae0-8ae4-c74c3b4ec8d5 ,3bb5dcaf-a439-425a-af9f-26ec50c5399c ,CLND49-PROF2016000,CLND49-PROF2017012,CLND49-PROF2017026,CLND49-PROF2017027,CLND49-PROF2017028,CLND49-PROF2017029,CLND49-PROF2017030,CLND49-PROF2017031,0491929F-0490837U
2nde2,2NDE2,49310-CLND-49-LYCEE-COURS22,CLND49-PROF2016002,CLND49-PROF2017008,CLND49-PROF2017023,CLND49-PROF2017021,CLND49-PROF2017010,7e6b22fc-973c-4d26-bcb1-26299885c796 ,CLND49-PROF2017024,CLND49-PROF2017019,mo,611fccbd-0c0a-4ae0-8ae4-c74c3b4ec8d5 ,3bb5dcaf-a439-425a-af9f-26ec50c5399c ,CLND49-PROF2016000,CLND49-PROF2017012,CLND49-PROF2017026,CLND49-PROF2017027,CLND49-PROF2017028,CLND49-PROF2017029,CLND49-PROF2017030,CLND49-PROF2017031,0491929F-0490837U
2nde3,2NDE3,49310-CLND-49-LYCEE-COURS23,CLND49-PROF2016002,35441f98-4e5f-4885-b606-255f2937026e ,CLND49-PROF2017023,CLND49-PROF2017021,CLND49-PROF2017010,CLND49-PROF2017018,CLND49-PROF2017024,CLND49-PROF2017019,mo,611fccbd-0c0a-4ae0-8ae4-c74c3b4ec8d5 ,3bb5dcaf-a439-425a-af9f-26ec50c5399c ,CLND49-PROF2016000,CLND49-PROF2017012,CLND49-PROF2017026,CLND49-PROF2017027,CLND49-PROF2017028,CLND49-PROF2017029,CLND49-PROF2017030,CLND49-PROF2017031,0491929F-0490837U
MOBILE,MOBILE,49311-CLND-49-COLLEGE-COURSMOBILE,CLND49-PROF2016002,35441f98-4e5f-4885-b606-255f2937026e ,CLND49-PROF2017023,CLND49-PROF2017021,CLND49-PROF2017010,CLND49-PROF2017018,CLND49-PROF2017024,CLND49-PROF2017019,mo,611fccbd-0c0a-4ae0-8ae4-c74c3b4ec8d5 ,3bb5dcaf-a439-425a-af9f-26ec50c5399c ,CLND49-PROF2016000,CLND49-PROF2017012,CLND49-PROF2017026,CLND49-PROF2017027,CLND49-PROF2017028,CLND49-PROF2017029,CLND49-PROF2017030,CLND49-PROF2017031,0491929F-0490837U
GR1,GR1,49310-CLND-49-COLLEGE-COURS6A-gr1,39e556c1-b439-4cb2-9c00-8352a9507ee7 ,mo,bc389ddb-e2c1-425a-91f1-381d6f699e81 ,,,,,,,,,,,,,,,,,0491929F-0490837U
GR2,GR2,49310-CLND-49-COLLEGE-COURS6AB-gr2,39e556c1-b439-4cb2-9c00-8352a9507ee7 ,mo,bc389ddb-e2c1-425a-91f1-381d6f699e81 ,,,,,,,,,,,,,,,,,0491929F-0490837U
GR3,GR3,49310-CLND-49-COLLEGE-COURS6B-gr3,39e556c1-b439-4cb2-9c00-8352a9507ee7 ,mo,bc389ddb-e2c1-425a-91f1-381d6f699e81 ,,,,,,,,,,,,,,,,,0491929F-0490837U
ICN,ICN,49310-CLND-49-LYCEE-COURS_ICN,mo,,,,,,,,,,,,,,,,,,,0491929F-0490837U
LS,LS,49310-CLND-49-LYCEE-COURS_LS,32608696-c4eb-459a-90e5-9b66d074586b ,CLND49-PROF2017018,,,,,,,,,,,,,,,,,,0491929F-0490837U
MPS1,MPS1,49310-CLND-49-LYCEE-COURS_MPS1,CLND49-PROF2017007,CLND49-PROF2017024,,,,,,,,,,,,,,,,,,0491929F-0490837U
MPS2,MPS2,49310-CLND-49-LYCEE-COURS_MPS2,CLND49-PROF2017007,CLND49-PROF2017024,,,,,,,,,,,,,,,,,,0491929F-0490837U
5-ALL,5-ALL,49310-CLND-49-LYCEE-COURS_5all,CLND49-PROF2017010,,,,,,,,,,,,,,,,,,,0491929F-0490837U
5-ESP1,5-ESP1,49310-CLND-49-LYCEE-COURS_5esp1,CLND49-PROF2016001,,,,,,,,,,,,,,,,,,,0491929F-0490837U
5-ESP2,5-ESP2,49310-CLND-49-LYCEE-COURS_5esp2,CLND49-PROF2016001,,,,,,,,,,,,,,,,,,,0491929F-0490837U
5-LATIN,5-LATIN,49310-CLND-49-COLLEGE-COURSLATIN,32608696-c4eb-459a-90e5-9b66d074586b ,,,,,,,,,,,,,,,,,,,0491929F-0490837U
