roster_id,class_id,student_id
roster-clnd49-2016101,2nde1,Clnd49-2017-01
roster-clnd49-2016102,2nde1,Clnd49-2017-02
roster-clnd49-2016103,2nde1,Clnd49-2017-03
roster-clnd49-2016104,2nde2,Clnd49-2017-04
roster-clnd49-2016105,2nde1,Clnd49-2017-05
roster-clnd49-2016106,2nde1,Clnd49-2017-06
roster-clnd49-2016107,2nde1,Clnd49-2017-07
roster-clnd49-2016108,2nde1,Clnd49-2017-08
roster-clnd49-2016109,2nde1,Clnd49-2017-09
roster-clnd49-2016110,2nde1,Clnd49-2017-10
roster-clnd49-2016111,2nde1,Clnd49-2017-11
roster-clnd49-2016112,2nde1,Clnd49-2017-12
roster-clnd49-2016113,2nde1,Clnd49-2017-13
roster-clnd49-2016114,2nde1,Clnd49-2017-14
roster-clnd49-2016115,2nde1,Clnd49-2017-15
roster-clnd49-2016116,2nde1,Clnd49-2017-17
roster-clnd49-2016117,2nde1,Clnd49-2017-18
roster-clnd49-2016118,2nde1,Clnd49-2017-19
roster-clnd49-2016119,2nde1,Clnd49-2017-21
roster-clnd49-2016120,2nde1,Clnd49-2017-22
roster-clnd49-2016121,2nde1,Clnd49-2017-23
roster-clnd49-2016122,2nde1,Clnd49-2017-59
roster-clnd49-2016124,2nde2,Clnd49-2017-16
roster-clnd49-2016125,2nde2,Clnd49-2017-24
roster-clnd49-2016126,2nde2,Clnd49-2017-25
roster-clnd49-2016127,2nde2,Clnd49-2017-26
roster-clnd49-2016128,2nde2,Clnd49-2017-27
roster-clnd49-2016129,2nde1,Clnd49-2017-28
roster-clnd49-2016130,2nde2,Clnd49-2017-29
roster-clnd49-2016131,2nde2,Clnd49-2017-30
roster-clnd49-2016132,2nde2,Clnd49-2017-31
roster-clnd49-2016133,2nde2,Clnd49-2017-32
roster-clnd49-2016134,2nde2,Clnd49-2017-34
roster-clnd49-2016135,2nde2,Clnd49-2017-35
roster-clnd49-2016136,2nde2,Clnd49-2017-36
roster-clnd49-2016137,2nde2,Clnd49-2017-37
roster-clnd49-2016138,2nde2,Clnd49-2017-44
roster-clnd49-2016139,2nde2,Clnd49-2017-49
roster-clnd49-2016140,2nde2,Clnd49-2017-51
roster-clnd49-2016141,2nde2,Clnd49-2017-52
roster-clnd49-2016142,2nde2,Clnd49-2017-56
roster-clnd49-2016143,2nde2,Clnd49-2017-58
roster-clnd49-2016144,2nde2,Clnd49-2017-60
roster-clnd49-2016145,2nde2,Clnd49-2017-69
roster-clnd49-2016146,2nde2,Clnd49-2017-70
roster-clnd49-2016147,2nde3,Clnd49-2017-20
roster-clnd49-2016148,2nde3,Clnd49-2017-33
roster-clnd49-2016149,2nde3,Clnd49-2017-38
roster-clnd49-2016150,2nde3,Clnd49-2017-39
roster-clnd49-2016151,2nde3,Clnd49-2017-40
roster-clnd49-2016152,2nde3,Clnd49-2017-41
roster-clnd49-2016153,2nde3,Clnd49-2017-42
roster-clnd49-2016154,2nde3,Clnd49-2017-43
roster-clnd49-2016155,2nde3,Clnd49-2017-45
roster-clnd49-2016156,2nde3,Clnd49-2017-46
roster-clnd49-2016157,2nde3,Clnd49-2017-47
roster-clnd49-2016158,2nde3,Clnd49-2017-48
roster-clnd49-2016159,2nde3,Clnd49-2017-50
roster-clnd49-2016160,2nde3,Clnd49-2017-53
roster-clnd49-2016161,2nde3,Clnd49-2017-54
roster-clnd49-2016162,2nde3,Clnd49-2017-55
roster-clnd49-2016163,2nde3,Clnd49-2017-57
roster-clnd49-2016164,2nde3,Clnd49-2017-61
roster-clnd49-2016165,2nde3,Clnd49-2017-62
roster-clnd49-2016166,2nde3,Clnd49-2017-63
roster-clnd49-2016167,2nde3,Clnd49-2017-64
roster-clnd49-2016168,2nde3,Clnd49-2017-65
roster-clnd49-2016169,2nde3,Clnd49-2017-66
roster-clnd49-2016170,2nde3,Clnd49-2017-68
roster-clnd49-2016171,2nde3,Clnd49-2017-71
roster-clnd49-2016172,2nde3,Clnd49-2017-72
roster-clnd49-2016173,5A,clnd49-2016-77
roster-clnd49-2016174,5A,clnd49-2016-100
roster-clnd49-2016175,5A,clnd49-2016-99
roster-clnd49-2016176,5A,clnd49-2016-74
roster-clnd49-2016177,5A,clnd49-2016-98
roster-clnd49-2016178,5A,clnd49-2016-73
roster-clnd49-2016179,5A,clnd49-2016-72
roster-clnd49-2016180,5A,clnd49-2016-71
roster-clnd49-2016181,5A,clnd49-2016-96
roster-clnd49-2016182,5A,clnd49-2016-95
roster-clnd49-2016183,5A,clnd49-2016-94
roster-clnd49-2016184,5A,clnd49-2016-70
roster-clnd49-2016185,5A,clnd49-2016-93
roster-clnd49-2016186,5A,clnd49-2016-92
roster-clnd49-2016187,5A,clnd49-2016-89
roster-clnd49-2016188,5A,clnd49-2016-87
roster-clnd49-2016189,5A,clnd49-2016-65
roster-clnd49-2016190,5A,clnd49-2016-62
roster-clnd49-2016191,5A,clnd49-2016-60
roster-clnd49-2016192,5A,clnd49-2016-82
roster-clnd49-2016193,5A,clnd49-2016-81
roster-clnd49-2016194,5A,clnd49-2016-59
roster-clnd49-2016195,5A,clnd49-2016-79
roster-clnd49-2016196,5A,clnd49-2016-58
roster-clnd49-2016197,5A,clnd49-2016-56
roster-clnd49-2016198,5B,clnd49-2016-101
roster-clnd49-2016199,5B,Clnd49-2017-133
roster-clnd49-2016200,5B,Clnd49-2017-129
roster-clnd49-2016201,5B,clnd49-2016-76
roster-clnd49-2016202,5B,clnd49-2016-75
roster-clnd49-2016203,5B,clnd49-2016-97
roster-clnd49-2016204,5B,clnd49-2016-91
roster-clnd49-2016205,5B,clnd49-2016-69
roster-clnd49-2016206,5B,clnd49-2016-90
roster-clnd49-2016207,5B,clnd49-2016-68
roster-clnd49-2016208,5B,Clnd49-2017-130
roster-clnd49-2016209,5B,clnd49-2016-88
roster-clnd49-2016210,5B,clnd49-2016-67
roster-clnd49-2016211,5B,Clnd49-2017-131
roster-clnd49-2016212,5B,clnd49-2016-66
roster-clnd49-2016213,5B,clnd49-2016-86
roster-clnd49-2016214,5B,clnd49-2016-85
roster-clnd49-2016215,5B,clnd49-2016-64
roster-clnd49-2016216,5B,clnd49-2016-84
roster-clnd49-2016217,5B,clnd49-2016-83
roster-clnd49-2016218,5B,clnd49-2016-63
roster-clnd49-2016219,5B,clnd49-2016-61
roster-clnd49-2016220,5B,clnd49-2016-80
roster-clnd49-2016221,5B,clnd49-2016-57
roster-clnd49-2016222,5B,Clnd49-2016-102
roster-clnd49-2016223,5B,clnd49-2016-78
roster-clnd49-2016224,6A,Clnd49-2017-73
roster-clnd49-2016225,6A,Clnd49-2017-74
roster-clnd49-2016226,6A,Clnd49-2017-76
roster-clnd49-2016227,6A,Clnd49-2017-77
roster-clnd49-2016228,6A,Clnd49-2017-78
roster-clnd49-2016229,6A,Clnd49-2017-81
roster-clnd49-2016230,6A,Clnd49-2017-82
roster-clnd49-2016231,6A,Clnd49-2017-83
roster-clnd49-2016232,6A,Clnd49-2017-85
roster-clnd49-2016233,6A,Clnd49-2017-86
roster-clnd49-2016234,6A,Clnd49-2017-89
roster-clnd49-2016235,6A,Clnd49-2017-90
roster-clnd49-2016236,6A,Clnd49-2017-92
roster-clnd49-2016237,6A,Clnd49-2017-93
roster-clnd49-2016238,6A,Clnd49-2017-96
roster-clnd49-2016239,6A,Clnd49-2017-97
roster-clnd49-2016240,6A,Clnd49-2017-99
roster-clnd49-2016241,6A,Clnd49-2017-104
roster-clnd49-2016242,6A,Clnd49-2017-105
roster-clnd49-2016243,6A,Clnd49-2017-108
roster-clnd49-2016244,6A,Clnd49-2017-110
roster-clnd49-2016245,6A,Clnd49-2017-115
roster-clnd49-2016246,6B,Clnd49-2017-120
roster-clnd49-2016247,6A,Clnd49-2017-121
roster-clnd49-2016248,6A,Clnd49-2017-122
roster-clnd49-2016249,6A,Clnd49-2017-124
roster-clnd49-2016250,6A,Clnd49-2017-125
roster-clnd49-2016251,6A,Clnd49-2017-127
roster-clnd49-2016252,6A,Clnd49-2017-134
roster-clnd49-2016253,6B,Clnd49-2017-79
roster-clnd49-2016254,6B,Clnd49-2017-80
roster-clnd49-2016255,6B,Clnd49-2017-84
roster-clnd49-2016256,6B,Clnd49-2017-87
roster-clnd49-2016257,6B,Clnd49-2017-88
roster-clnd49-2016258,6B,Clnd49-2017-91
roster-clnd49-2016259,6B,Clnd49-2017-94
roster-clnd49-2016260,6B,Clnd49-2017-95
roster-clnd49-2016261,6B,Clnd49-2017-98
roster-clnd49-2016262,6B,Clnd49-2017-100
roster-clnd49-2016263,6B,Clnd49-2017-101
roster-clnd49-2016264,6B,Clnd49-2017-102
roster-clnd49-2016265,6B,Clnd49-2017-103
roster-clnd49-2016266,6B,Clnd49-2017-106
roster-clnd49-2016267,6B,Clnd49-2017-107
roster-clnd49-2016268,6B,Clnd49-2017-109
roster-clnd49-2016269,6B,Clnd49-2017-111
roster-clnd49-2016270,6B,Clnd49-2017-112
roster-clnd49-2016271,6B,Clnd49-2017-113
roster-clnd49-2016272,6B,Clnd49-2017-114
roster-clnd49-2016273,6B,Clnd49-2017-116
roster-clnd49-2016274,6B,Clnd49-2017-117
roster-clnd49-2016275,6B,Clnd49-2017-118
roster-clnd49-2016276,6B,Clnd49-2017-119
roster-clnd49-2016277,6B,Clnd49-2017-123
roster-clnd49-2016278,6B,Clnd49-2017-126
roster-clnd49-2016279,6B,Clnd49-2017-128
roster-clnd49-2016280,GR1,Clnd49-2017-73
roster-clnd49-2016281,GR1,Clnd49-2017-74
roster-clnd49-2016282,GR1,Clnd49-2017-76
roster-clnd49-2016283,GR1,Clnd49-2017-77
roster-clnd49-2016284,GR1,Clnd49-2017-78
roster-clnd49-2016285,GR2,Clnd49-2017-79
roster-clnd49-2016286,GR2,Clnd49-2017-80
roster-clnd49-2016287,GR1,Clnd49-2017-81
roster-clnd49-2016288,GR1,Clnd49-2017-82
roster-clnd49-2016289,GR1,Clnd49-2017-83
roster-clnd49-2016290,GR2,Clnd49-2017-84
roster-clnd49-2016291,GR1,Clnd49-2017-85
roster-clnd49-2016292,GR1,Clnd49-2017-86
roster-clnd49-2016293,GR2,Clnd49-2017-87
roster-clnd49-2016294,GR2,Clnd49-2017-88
roster-clnd49-2016295,GR1,Clnd49-2017-89
roster-clnd49-2016296,GR1,Clnd49-2017-90
roster-clnd49-2016297,GR2,Clnd49-2017-91
roster-clnd49-2016298,GR1,Clnd49-2017-92
roster-clnd49-2016299,GR1,Clnd49-2017-93
roster-clnd49-2016300,GR2,Clnd49-2017-94
roster-clnd49-2016301,GR2,Clnd49-2017-95
roster-clnd49-2016302,GR1,Clnd49-2017-96
roster-clnd49-2016303,GR1,Clnd49-2017-97
roster-clnd49-2016304,GR3,Clnd49-2017-98
roster-clnd49-2016305,GR1,Clnd49-2017-99
roster-clnd49-2016306,GR3,Clnd49-2017-100
roster-clnd49-2016307,GR3,Clnd49-2017-101
roster-clnd49-2016308,GR3,Clnd49-2017-102
roster-clnd49-2016309,GR1,Clnd49-2017-103
roster-clnd49-2016310,GR3,Clnd49-2017-104
roster-clnd49-2016311,GR2,Clnd49-2017-105
roster-clnd49-2016312,GR3,Clnd49-2017-106
roster-clnd49-2016313,GR3,Clnd49-2017-107
roster-clnd49-2016314,GR2,Clnd49-2017-108
roster-clnd49-2016315,GR3,Clnd49-2017-109
roster-clnd49-2016316,GR2,Clnd49-2017-110
roster-clnd49-2016317,GR3,Clnd49-2017-111
roster-clnd49-2016318,GR3,Clnd49-2017-112
roster-clnd49-2016319,GR3,Clnd49-2017-113
roster-clnd49-2016320,GR3,Clnd49-2017-114
roster-clnd49-2016321,GR2,Clnd49-2017-115
roster-clnd49-2016322,GR3,Clnd49-2017-116
roster-clnd49-2016323,GR3,Clnd49-2017-117
roster-clnd49-2016324,GR3,Clnd49-2017-118
roster-clnd49-2016325,GR3,Clnd49-2017-119
roster-clnd49-2016326,GR2,Clnd49-2017-120
roster-clnd49-2016327,GR2,Clnd49-2017-121
roster-clnd49-2016328,GR2,Clnd49-2017-122
roster-clnd49-2016329,GR3,Clnd49-2017-123
roster-clnd49-2016330,GR2,Clnd49-2017-124
roster-clnd49-2016331,GR2,Clnd49-2017-125
roster-clnd49-2016332,GR3,Clnd49-2017-126
roster-clnd49-2016333,GR2,Clnd49-2017-127
roster-clnd49-2016334,GR3,Clnd49-2017-128
roster-clnd49-2016335,GR2,Clnd49-2017-134
roster-clnd49-2016336,2nde2,Clnd49-2017-135
roster-clnd49-2016337,MPS1,Clnd49-2017-01
roster-clnd49-2016338,MPS2,Clnd49-2017-02
roster-clnd49-2016339,MPS2,Clnd49-2017-03
roster-clnd49-2016340,MPS2,Clnd49-2017-04
roster-clnd49-2016341,ICN,Clnd49-2017-05
roster-clnd49-2016342,MPS2,Clnd49-2017-06
roster-clnd49-2016343,ICN,Clnd49-2017-07
roster-clnd49-2016344,ICN,Clnd49-2017-08
roster-clnd49-2016345,LS,Clnd49-2017-09
roster-clnd49-2016346,MPS2,Clnd49-2017-10
roster-clnd49-2016347,ICN,Clnd49-2017-11
roster-clnd49-2016348,MPS1,Clnd49-2017-12
roster-clnd49-2016349,ICN,Clnd49-2017-13
roster-clnd49-2016350,ICN,Clnd49-2017-14
roster-clnd49-2016351,MPS2,Clnd49-2017-15
roster-clnd49-2016352,MPS1,Clnd49-2017-16
roster-clnd49-2016353,MPS2,Clnd49-2017-17
roster-clnd49-2016354,MPS1,Clnd49-2017-18
roster-clnd49-2016355,LS,Clnd49-2017-19
roster-clnd49-2016356,LS,Clnd49-2017-20
roster-clnd49-2016357,ICN,Clnd49-2017-21
roster-clnd49-2016358,ICN,Clnd49-2017-22
roster-clnd49-2016359,MPS1,Clnd49-2017-23
roster-clnd49-2016360,MPS1,Clnd49-2017-24
roster-clnd49-2016361,MPS1,Clnd49-2017-25
roster-clnd49-2016362,LS,Clnd49-2017-26
roster-clnd49-2016363,LS,Clnd49-2017-27
roster-clnd49-2016364,MPS2,Clnd49-2017-28
roster-clnd49-2016365,ICN,Clnd49-2017-29
roster-clnd49-2016366,ICN,Clnd49-2017-31
roster-clnd49-2016367,LS,Clnd49-2017-30
roster-clnd49-2016368,MPS1,Clnd49-2017-32
roster-clnd49-2016369,ICN,Clnd49-2017-33
roster-clnd49-2016370,MPS2,Clnd49-2017-34
roster-clnd49-2016371,MPS1,Clnd49-2017-35
roster-clnd49-2016372,MPS1,Clnd49-2017-36
roster-clnd49-2016373,LS,Clnd49-2017-37
roster-clnd49-2016374,MPS1,Clnd49-2017-38
roster-clnd49-2016375,MPS2,Clnd49-2017-39
roster-clnd49-2016376,LS,Clnd49-2017-40
roster-clnd49-2016377,ICN,Clnd49-2017-41
roster-clnd49-2016378,MPS1,Clnd49-2017-42
roster-clnd49-2016379,ICN,Clnd49-2017-43
roster-clnd49-2016380,MPS1,Clnd49-2017-135
roster-clnd49-2016381,MPS1,Clnd49-2017-44
roster-clnd49-2016382,LS,Clnd49-2017-45
roster-clnd49-2016383,LS,Clnd49-2017-46
roster-clnd49-2016384,LS,Clnd49-2017-47
roster-clnd49-2016385,MPS1,Clnd49-2017-48
roster-clnd49-2016386,MPS1,Clnd49-2017-49
roster-clnd49-2016387,MPS2,Clnd49-2017-50
roster-clnd49-2016388,LS,Clnd49-2017-51
roster-clnd49-2016389,MPS2,Clnd49-2017-52
roster-clnd49-2016390,LS,Clnd49-2017-53
roster-clnd49-2016391,LS,Clnd49-2017-54
roster-clnd49-2016392,MPS2,Clnd49-2017-55
roster-clnd49-2016393,ICN,Clnd49-2017-56
roster-clnd49-2016394,MPS2,Clnd49-2017-57
roster-clnd49-2016395,LS,Clnd49-2017-58
roster-clnd49-2016396,LS,Clnd49-2017-59
roster-clnd49-2016397,MPS1,Clnd49-2017-60
roster-clnd49-2016398,LS,Clnd49-2017-61
roster-clnd49-2016399,ICN,Clnd49-2017-62
roster-clnd49-2016400,MPS1,Clnd49-2017-63
roster-clnd49-2016401,ICN,Clnd49-2017-64
roster-clnd49-2016402,MPS2,Clnd49-2017-65
roster-clnd49-2016403,MPS1,Clnd49-2017-66
roster-clnd49-2016404,LS,Clnd49-2017-68
roster-clnd49-2016405,MPS1,Clnd49-2017-69
roster-clnd49-2016406,ICN,Clnd49-2017-70
roster-clnd49-2016407,LS,Clnd49-2017-71
roster-clnd49-2016408,ICN,Clnd49-2017-72
roster-clnd49-2016409,5-ESP1,clnd49-2016-101
roster-clnd49-2016410,5-ESP2,Clnd49-2017-133
roster-clnd49-2016411,5-ESP1,clnd49-2016-77
roster-clnd49-2016412,5-ESP1,Clnd49-2017-129
roster-clnd49-2016413,5-ALL,clnd49-2016-100
roster-clnd49-2016414,5-ESP1,clnd49-2016-99
roster-clnd49-2016415,5-ESP1,clnd49-2016-76
roster-clnd49-2016416,5-ESP1,clnd49-2016-75
roster-clnd49-2016417,5-ESP1,clnd49-2016-74
roster-clnd49-2016418,5-ESP1,clnd49-2016-98
roster-clnd49-2016419,5-ESP1,clnd49-2016-97
roster-clnd49-2016420,5-ESP1,clnd49-2016-73
roster-clnd49-2016421,5-ESP1,clnd49-2016-72
roster-clnd49-2016422,5-ESP1,clnd49-2016-71
roster-clnd49-2016423,5-ESP2,clnd49-2016-96
roster-clnd49-2016424,5-ESP2,clnd49-2016-95
roster-clnd49-2016425,5-ESP2,clnd49-2016-94
roster-clnd49-2016426,5-ESP2,clnd49-2016-70
roster-clnd49-2016427,5-ALL,clnd49-2016-93
roster-clnd49-2016428,5-ESP2,clnd49-2016-92
roster-clnd49-2016429,5-ESP1,clnd49-2016-91
roster-clnd49-2016430,5-ALL,clnd49-2016-69
roster-clnd49-2016431,5-ESP1,clnd49-2016-90
roster-clnd49-2016432,5-ESP2,clnd49-2016-89
roster-clnd49-2016433,5-ALL,clnd49-2016-68
roster-clnd49-2016434,5-ALL,Clnd49-2017-130
roster-clnd49-2016435,5-ALL,clnd49-2016-88
roster-clnd49-2016436,5-ALL,clnd49-2016-67
roster-clnd49-2016437,5-ALL,Clnd49-2017-131
roster-clnd49-2016438,5-ESP2,clnd49-2016-87
roster-clnd49-2016439,5-ALL,clnd49-2016-66
roster-clnd49-2016440,5-ALL,clnd49-2016-86
roster-clnd49-2016441,5-ESP1,clnd49-2016-85
roster-clnd49-2016442,5-ESP2,clnd49-2016-65
roster-clnd49-2016443,5-ALL,clnd49-2016-64
roster-clnd49-2016444,5-ALL,clnd49-2016-84
roster-clnd49-2016445,5-ALL,clnd49-2016-83
roster-clnd49-2016446,5-ESP1,clnd49-2016-63
roster-clnd49-2016447,5-ALL,clnd49-2016-62
roster-clnd49-2016448,5-ESP1,clnd49-2016-61
roster-clnd49-2016449,5-ESP2,clnd49-2016-60
roster-clnd49-2016450,5-ESP2,clnd49-2016-82
roster-clnd49-2016451,5-ESP2,clnd49-2016-81
roster-clnd49-2016452,5-ESP1,clnd49-2016-80
roster-clnd49-2016453,5-ESP2,clnd49-2016-59
roster-clnd49-2016454,5-ESP2,clnd49-2016-79
roster-clnd49-2016455,5-ESP2,clnd49-2016-58
roster-clnd49-2016456,5-ALL,clnd49-2016-57
roster-clnd49-2016457,5-ESP2,clnd49-2016-56
roster-clnd49-2016458,5-ALL,Clnd49-2016-102
roster-clnd49-2016459,5-ESP2,clnd49-2016-78
roster-clnd49-2016460,5-LATIN,Clnd49-2016-102
roster-clnd49-2016461,5-LATIN,clnd49-2016-80
roster-clnd49-2016462,5-LATIN,clnd49-2016-61
roster-clnd49-2016463,5-LATIN,clnd49-2016-63
roster-clnd49-2016464,5-LATIN,clnd49-2016-83
roster-clnd49-2016465,5-LATIN,clnd49-2016-85
roster-clnd49-2016466,5-LATIN,clnd49-2016-86
roster-clnd49-2016467,5-LATIN,clnd49-2016-66
roster-clnd49-2016468,5-LATIN,clnd49-2016-67
roster-clnd49-2016469,5-LATIN,clnd49-2016-88
roster-clnd49-2016470,5-LATIN,Clnd49-2017-130
roster-clnd49-2016471,5-LATIN,clnd49-2016-90
roster-clnd49-2016472,5-LATIN,clnd49-2016-69
roster-clnd49-2016473,5-LATIN,clnd49-2016-91
roster-clnd49-2016474,5-LATIN,clnd49-2016-97
roster-clnd49-2016475,5-LATIN,clnd49-2016-75
roster-clnd49-2016476,5-LATIN,clnd49-2016-76
roster-clnd49-2016477,5-LATIN,Clnd49-2017-129
roster-clnd49-2016478,5-LATIN,clnd49-2016-101
